suburb,MODE,stop_count,School_Type,school_count,region,Housing_Type,timestamp,Latest_Median,Forecasted_Next_Quarter
Craigieburn,REGIONAL TRAIN,2.0,Special,1.0,North Western Melbourne,3 bedroom house,2025-03-01,500.0,620.0
Craigieburn,REGIONAL TRAIN,2.0,Special,1.0,North Western Melbourne,4 bedroom house,2025-03-01,560.0,795.0
Craigieburn,REGIONAL TRAIN,2.0,Special,1.0,North Western Melbourne,All properties,2025-03-01,520.0,550.0
Cranbourne,METRO BUS,48.0,Primary,6.0,South Eastern Melbourne,1 bedroom flat,2025-03-01,400.0,364.0
Cranbourne,METRO BUS,48.0,Primary,6.0,South Eastern Melbourne,2 bedroom flat,2025-03-01,450.0,468.0
Cranbourne,METRO BUS,48.0,Primary,6.0,South Eastern Melbourne,2 bedroom house,2025-03-01,480.0,480.0
Cranbourne,METRO BUS,48.0,Primary,6.0,South Eastern Melbourne,3 bedroom flat,2025-03-01,530.0,540.0
Cranbourne,METRO BUS,48.0,Primary,6.0,South Eastern Melbourne,3 bedroom house,2025-03-01,545.0,548.0
Cranbourne,METRO BUS,48.0,Primary,6.0,South Eastern Melbourne,4 bedroom house,2025-03-01,600.0,630.0
Cranbourne,METRO BUS,48.0,Primary,6.0,South Eastern Melbourne,All properties,2025-03-01,580.0,540.0
Cranbourne,METRO BUS,48.0,Secondary,1.0,South Eastern Melbourne,1 bedroom flat,2025-03-01,400.0,364.0
Cranbourne,METRO BUS,48.0,Secondary,1.0,South Eastern Melbourne,2 bedroom flat,2025-03-01,450.0,468.0
Cranbourne,METRO BUS,48.0,Secondary,1.0,South Eastern Melbourne,2 bedroom house,2025-03-01,480.0,480.0
Cranbourne,METRO BUS,48.0,Secondary,1.0,South Eastern Melbourne,3 bedroom flat,2025-03-01,530.0,540.0
Cranbourne,METRO BUS,48.0,Secondary,1.0,South Eastern Melbourne,3 bedroom house,2025-03-01,545.0,548.0
Cranbourne,METRO BUS,48.0,Secondary,1.0,South Eastern Melbourne,4 bedroom house,2025-03-01,600.0,630.0
Cranbourne,METRO BUS,48.0,Secondary,1.0,South Eastern Melbourne,All properties,2025-03-01,580.0,540.0
Cranbourne,METRO TRAIN,3.0,Primary,6.0,South Eastern Melbourne,1 bedroom flat,2025-03-01,400.0,364.0
Cranbourne,METRO TRAIN,3.0,Primary,6.0,South Eastern Melbourne,2 bedroom flat,2025-03-01,450.0,468.0
Cranbourne,METRO TRAIN,3.0,Primary,6.0,South Eastern Melbourne,2 bedroom house,2025-03-01,480.0,480.0
Cranbourne,METRO TRAIN,3.0,Primary,6.0,South Eastern Melbourne,3 bedroom flat,2025-03-01,530.0,540.0
Cranbourne,METRO TRAIN,3.0,Primary,6.0,South Eastern Melbourne,3 bedroom house,2025-03-01,545.0,548.0
Cranbourne,METRO TRAIN,3.0,Primary,6.0,South Eastern Melbourne,4 bedroom house,2025-03-01,600.0,630.0
Cranbourne,METRO TRAIN,3.0,Primary,6.0,South Eastern Melbourne,All properties,2025-03-01,580.0,540.0
