suburb,MODE,stop_count,School_Type,school_count,region,Housing_Type,timestamp,Latest_Median,Forecasted_Next_Quarter
Abbeyard,,,,,,,,,
Abbotsford,METRO BUS,12.0,Pri/Sec,1.0,,,,,
Abbotsford,METRO BUS,12.0,Primary,1.0,,,,,
Abbotsford,METRO TRAIN,18.0,Pri/Sec,1.0,,,,,
Abbotsford,METRO TRAIN,18.0,Primary,1.0,,,,,
Abbotsford,METRO TRAM,6.0,Pri/Sec,1.0,,,,,
Abbotsford,METRO TRAM,6.0,Primary,1.0,,,,,
Aberfeldie,METRO BUS,15.0,Primary,2.0,,,,,
Aberfeldie,METRO BUS,15.0,Secondary,1.0,,,,,
Aberfeldy,,,,,,,,,
Acheron,METRO BUS,1.0,,,,,,,
Ada,,,,,,,,,
Adams Estate,,,,,,,,,
Addington,,,,,,,,,
Adelaide Lead,,,,,,,,,
Agnes,,,,,,,,,
Aintree,METRO BUS,18.0,Primary,1.0,,,,,
Aintree,METRO BUS,18.0,Secondary,1.0,,,,,
Aintree,METRO BUS,18.0,Special,1.0,,,,,
Aire Valley,,,,,,,,,
Aireys Inlet,REGIONAL COACH,2.0,Primary,1.0,,,,,
Airly,,,Primary,1.0,,,,,
Airport West,METRO BUS,28.0,Primary,2.0,,,,,
Airport West,METRO TRAM,6.0,Primary,2.0,,,,,
Albacutya,,,,,,,,,
Albanvale,METRO BUS,16.0,Primary,1.0,,,,,
Albert Park,METRO BUS,5.0,Primary,2.0,,,,,
Albert Park,METRO BUS,5.0,Secondary,1.0,,,,,
Albert Park,METRO TRAM,17.0,Primary,2.0,,,,,
Albert Park,METRO TRAM,17.0,Secondary,1.0,,,,,
Alberton,REGIONAL COACH,1.0,Primary,1.0,,,,,
Alberton West,,,,,,,,,
Albion,METRO BUS,15.0,Primary,2.0,,,,,
Albion,METRO TRAIN,2.0,Primary,2.0,,,,,
Alexandra,METRO BUS,1.0,Primary,2.0,,,,,
Alexandra,METRO BUS,1.0,Secondary,1.0,,,,,
Alexandra,REGIONAL BUS,2.0,Primary,2.0,,,,,
Alexandra,REGIONAL BUS,2.0,Secondary,1.0,,,,,
Alexandra,REGIONAL COACH,1.0,Primary,2.0,,,,,
Alexandra,REGIONAL COACH,1.0,Secondary,1.0,,,,,
Alfredton,REGIONAL BUS,30.0,Primary,2.0,,,,,
Allambee,,,,,,,,,
Allambee Reserve,,,,,,,,,
Allambee South,,,,,,,,,
Allans Flat,,,,,,,,,
Allansford,,,Primary,1.0,,,,,
Allendale,REGIONAL COACH,1.0,,,,,,,
Allestree,,,,,,,,,
Alma,,,,,,,,,
Almonds,,,,,,,,,
Almurta,,,,,,,,,
Alphington,METRO BUS,24.0,Pri/Sec,1.0,,,,,
Alphington,METRO BUS,24.0,Primary,2.0,,,,,
Alphington,METRO TRAIN,3.0,Pri/Sec,1.0,,,,,
Alphington,METRO TRAIN,3.0,Primary,2.0,,,,,
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,1 bedroom flat,2025-03-01,360.0,365.0
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,2 bedroom flat,2025-03-01,470.0,472.0
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,2 bedroom house,2025-03-01,480.0,490.0
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,3 bedroom flat,2025-03-01,550.0,575.0
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,3 bedroom house,2025-03-01,525.0,549.0
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,4 bedroom house,2025-03-01,585.0,658.0
Altona,METRO BUS,45.0,Pri/Sec,1.0,Outer Western Melbourne,All properties,2025-03-01,550.0,530.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,1 bedroom flat,2025-03-01,360.0,365.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,2 bedroom flat,2025-03-01,470.0,472.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,2 bedroom house,2025-03-01,480.0,490.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,3 bedroom flat,2025-03-01,550.0,575.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,3 bedroom house,2025-03-01,525.0,549.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,4 bedroom house,2025-03-01,585.0,658.0
Altona,METRO BUS,45.0,Primary,2.0,Outer Western Melbourne,All properties,2025-03-01,550.0,530.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,1 bedroom flat,2025-03-01,360.0,365.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,2 bedroom flat,2025-03-01,470.0,472.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,2 bedroom house,2025-03-01,480.0,490.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,3 bedroom flat,2025-03-01,550.0,575.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,3 bedroom house,2025-03-01,525.0,549.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,4 bedroom house,2025-03-01,585.0,658.0
Altona,METRO BUS,45.0,Secondary,1.0,Outer Western Melbourne,All properties,2025-03-01,550.0,530.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,1 bedroom flat,2025-03-01,360.0,365.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,2 bedroom flat,2025-03-01,470.0,472.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,2 bedroom house,2025-03-01,480.0,490.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,3 bedroom flat,2025-03-01,550.0,575.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,3 bedroom house,2025-03-01,525.0,549.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,4 bedroom house,2025-03-01,585.0,658.0
Altona,METRO TRAIN,6.0,Pri/Sec,1.0,Outer Western Melbourne,All properties,2025-03-01,550.0,530.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,1 bedroom flat,2025-03-01,360.0,365.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,2 bedroom flat,2025-03-01,470.0,472.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,2 bedroom house,2025-03-01,480.0,490.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,3 bedroom flat,2025-03-01,550.0,575.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,3 bedroom house,2025-03-01,525.0,549.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,4 bedroom house,2025-03-01,585.0,658.0
Altona,METRO TRAIN,6.0,Primary,2.0,Outer Western Melbourne,All properties,2025-03-01,550.0,530.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,1 bedroom flat,2025-03-01,360.0,365.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,2 bedroom flat,2025-03-01,470.0,472.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,2 bedroom house,2025-03-01,480.0,490.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,3 bedroom flat,2025-03-01,550.0,575.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,3 bedroom house,2025-03-01,525.0,549.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,4 bedroom house,2025-03-01,585.0,658.0
Altona,METRO TRAIN,6.0,Secondary,1.0,Outer Western Melbourne,All properties,2025-03-01,550.0,530.0
Altona Meadows,METRO BUS,31.0,Primary,3.0,,,,,
Altona North,METRO BUS,72.0,Primary,2.0,,,,,
Altona North,METRO BUS,72.0,Secondary,1.0,,,,,
Alvie,REGIONAL BUS,1.0,Primary,1.0,,,,,
Amherst,,,,,,,,,
Amor,,,,,,,,,
Amphitheatre,REGIONAL BUS,2.0,Primary,1.0,,,,,
Anakie,,,Primary,1.0,,,,,
Ancona,,,,,,,,,
Anderson,REGIONAL BUS,1.0,,,,,,,
Anderson,REGIONAL COACH,1.0,,,,,,,
Anglers Rest,,,,,,,,,
Anglesea,REGIONAL COACH,3.0,Primary,1.0,,,,,
Annuello,REGIONAL COACH,1.0,,,,,,,
Antwerp,REGIONAL BUS,1.0,,,,,,,
Apollo Bay,REGIONAL BUS,4.0,Pri/Sec,1.0,,,,,
Apollo Bay,REGIONAL COACH,2.0,Pri/Sec,1.0,,,,,
Appin,,,,,,,,,
Appin South,,,,,,,,,
Apsley,REGIONAL BUS,1.0,Primary,1.0,,,,,
Arapiles,,,,,,,,,
Ararat,INTERSTATE TRAIN,2.0,Primary,4.0,,,,,
Ararat,INTERSTATE TRAIN,2.0,Secondary,2.0,,,,,
Ararat,REGIONAL BUS,61.0,Primary,4.0,,,,,
Ararat,REGIONAL BUS,61.0,Secondary,2.0,,,,,
Ararat,REGIONAL COACH,2.0,Primary,4.0,,,,,
Ararat,REGIONAL COACH,2.0,Secondary,2.0,,,,,
Ararat,REGIONAL TRAIN,2.0,Primary,4.0,,,,,
Ararat,REGIONAL TRAIN,2.0,Secondary,2.0,,,,,
Arawata,,,,,,,,,
Arbuckle,,,,,,,,,
Arcadia,,,,,,,,,
Arcadia South,,,,,,,,,
Archdale,,,,,,,,,
Archdale Junction,,,,,,,,,
Archerton,,,,,,,,,
Archies Creek,,,,,,,,,
Ardeer,METRO BUS,12.0,Primary,2.0,,,,,
Ardmona,,,Primary,1.0,,,,,
Areegra,,,,,,,,,
Argyle,,,,,,,,,
Armadale,METRO BUS,16.0,Pri/Sec,2.0,Inner Melbourne,1 bedroom flat,2025-03-01,450.0,500.0
Armadale,METRO BUS,16.0,Pri/Sec,2.0,Inner Melbourne,2 bedroom flat,2025-03-01,630.0,658.0
Armadale,METRO BUS,16.0,Pri/Sec,2.0,Inner Melbourne,2 bedroom house,2025-03-01,778.0,742.0
Armadale,METRO BUS,16.0,Pri/Sec,2.0,Inner Melbourne,3 bedroom flat,2025-03-01,893.0,950.0
Armadale,METRO BUS,16.0,Pri/Sec,2.0,Inner Melbourne,3 bedroom house,2025-03-01,1100.0,973.0
Armadale,METRO BUS,16.0,Pri/Sec,2.0,Inner Melbourne,4 bedroom house,2025-03-01,1400.0,1325.0
Armadale,METRO BUS,16.0,Pri/Sec,2.0,Inner Melbourne,All properties,2025-03-01,625.0,640.0
Armadale,METRO BUS,16.0,Primary,1.0,Inner Melbourne,1 bedroom flat,2025-03-01,450.0,500.0
Armadale,METRO BUS,16.0,Primary,1.0,Inner Melbourne,2 bedroom flat,2025-03-01,630.0,658.0
Armadale,METRO BUS,16.0,Primary,1.0,Inner Melbourne,2 bedroom house,2025-03-01,778.0,742.0
Armadale,METRO BUS,16.0,Primary,1.0,Inner Melbourne,3 bedroom flat,2025-03-01,893.0,950.0
Armadale,METRO BUS,16.0,Primary,1.0,Inner Melbourne,3 bedroom house,2025-03-01,1100.0,973.0
Armadale,METRO BUS,16.0,Primary,1.0,Inner Melbourne,4 bedroom house,2025-03-01,1400.0,1325.0
Armadale,METRO BUS,16.0,Primary,1.0,Inner Melbourne,All properties,2025-03-01,625.0,640.0
Armadale,METRO TRAIN,5.0,Pri/Sec,2.0,Inner Melbourne,1 bedroom flat,2025-03-01,450.0,500.0
Armadale,METRO TRAIN,5.0,Pri/Sec,2.0,Inner Melbourne,2 bedroom flat,2025-03-01,630.0,658.0
Armadale,METRO TRAIN,5.0,Pri/Sec,2.0,Inner Melbourne,2 bedroom house,2025-03-01,778.0,742.0
Armadale,METRO TRAIN,5.0,Pri/Sec,2.0,Inner Melbourne,3 bedroom flat,2025-03-01,893.0,950.0
Armadale,METRO TRAIN,5.0,Pri/Sec,2.0,Inner Melbourne,3 bedroom house,2025-03-01,1100.0,973.0
Armadale,METRO TRAIN,5.0,Pri/Sec,2.0,Inner Melbourne,4 bedroom house,2025-03-01,1400.0,1325.0
Armadale,METRO TRAIN,5.0,Pri/Sec,2.0,Inner Melbourne,All properties,2025-03-01,625.0,640.0
Armadale,METRO TRAIN,5.0,Primary,1.0,Inner Melbourne,1 bedroom flat,2025-03-01,450.0,500.0
Armadale,METRO TRAIN,5.0,Primary,1.0,Inner Melbourne,2 bedroom flat,2025-03-01,630.0,658.0
Armadale,METRO TRAIN,5.0,Primary,1.0,Inner Melbourne,2 bedroom house,2025-03-01,778.0,742.0
Armadale,METRO TRAIN,5.0,Primary,1.0,Inner Melbourne,3 bedroom flat,2025-03-01,893.0,950.0
Armadale,METRO TRAIN,5.0,Primary,1.0,Inner Melbourne,3 bedroom house,2025-03-01,1100.0,973.0
Armadale,METRO TRAIN,5.0,Primary,1.0,Inner Melbourne,4 bedroom house,2025-03-01,1400.0,1325.0
Armadale,METRO TRAIN,5.0,Primary,1.0,Inner Melbourne,All properties,2025-03-01,625.0,640.0
Armadale,METRO TRAM,22.0,Pri/Sec,2.0,Inner Melbourne,1 bedroom flat,2025-03-01,450.0,500.0
Armadale,METRO TRAM,22.0,Pri/Sec,2.0,Inner Melbourne,2 bedroom flat,2025-03-01,630.0,658.0
Armadale,METRO TRAM,22.0,Pri/Sec,2.0,Inner Melbourne,2 bedroom house,2025-03-01,778.0,742.0
Armadale,METRO TRAM,22.0,Pri/Sec,2.0,Inner Melbourne,3 bedroom flat,2025-03-01,893.0,950.0
Armadale,METRO TRAM,22.0,Pri/Sec,2.0,Inner Melbourne,3 bedroom house,2025-03-01,1100.0,973.0
Armadale,METRO TRAM,22.0,Pri/Sec,2.0,Inner Melbourne,4 bedroom house,2025-03-01,1400.0,1325.0
Armadale,METRO TRAM,22.0,Pri/Sec,2.0,Inner Melbourne,All properties,2025-03-01,625.0,640.0
Armadale,METRO TRAM,22.0,Primary,1.0,Inner Melbourne,1 bedroom flat,2025-03-01,450.0,500.0
Armadale,METRO TRAM,22.0,Primary,1.0,Inner Melbourne,2 bedroom flat,2025-03-01,630.0,658.0
Armadale,METRO TRAM,22.0,Primary,1.0,Inner Melbourne,2 bedroom house,2025-03-01,778.0,742.0
Armadale,METRO TRAM,22.0,Primary,1.0,Inner Melbourne,3 bedroom flat,2025-03-01,893.0,950.0
Armadale,METRO TRAM,22.0,Primary,1.0,Inner Melbourne,3 bedroom house,2025-03-01,1100.0,973.0
Armadale,METRO TRAM,22.0,Primary,1.0,Inner Melbourne,4 bedroom house,2025-03-01,1400.0,1325.0
Armadale,METRO TRAM,22.0,Primary,1.0,Inner Melbourne,All properties,2025-03-01,625.0,640.0
Armstrong,,,,,,,,,
Armstrong Creek,REGIONAL BUS,36.0,Pri/Sec,1.0,,,,,
Armstrong Creek,REGIONAL BUS,36.0,Primary,2.0,,,,,
Armstrong Creek,REGIONAL BUS,36.0,Secondary,1.0,,,,,
Armstrong Creek,REGIONAL COACH,1.0,Pri/Sec,1.0,,,,,
Armstrong Creek,REGIONAL COACH,1.0,Primary,2.0,,,,,
Armstrong Creek,REGIONAL COACH,1.0,Secondary,1.0,,,,,
Arnold,,,,,,,,,
Arnold West,,,,,,,,,
Arthurs Creek,,,Primary,1.0,,,,,
Arthurs Seat,,,,,,,,,
Ascot,REGIONAL BUS,3.0,,,,,,,
Ascot,REGIONAL BUS,3.0,,,,,,,
Ascot Vale,METRO BUS,33.0,Primary,3.0,,,,,
Ascot Vale,METRO BUS,33.0,Special,1.0,,,,,
Ascot Vale,METRO TRAIN,3.0,Primary,3.0,,,,,
Ascot Vale,METRO TRAIN,3.0,Special,1.0,,,,,
Ascot Vale,METRO TRAM,17.0,Primary,3.0,,,,,
Ascot Vale,METRO TRAM,17.0,Special,1.0,,,,,
Ashbourne,,,,,,,,,
Ashburton,METRO BUS,22.0,Primary,3.0,,,,,
Ashburton,METRO TRAIN,4.0,Primary,3.0,,,,,
Ashwood,METRO BUS,24.0,Primary,1.0,,,,,
Ashwood,METRO BUS,24.0,Secondary,1.0,,,,,
Ashwood,METRO BUS,24.0,Special,2.0,,,,,
Aspendale,METRO BUS,12.0,Primary,2.0,,,,,
Aspendale,METRO BUS,12.0,Secondary,1.0,,,,,
Aspendale,METRO BUS,12.0,Special,1.0,,,,,
Aspendale,METRO TRAIN,2.0,Primary,2.0,,,,,
Aspendale,METRO TRAIN,2.0,Secondary,1.0,,,,,
Aspendale,METRO TRAIN,2.0,Special,1.0,,,,,
Aspendale Gardens,METRO BUS,14.0,Primary,1.0,,,,,
Athlone,REGIONAL BUS,1.0,,,,,,,
Attwood,METRO BUS,3.0,,,,,,,
Aubrey,,,,,,,,,
Auchmore,,,,,,,,,
Avalon,SKYBUS,1.0,,,,,,,
Avenel,REGIONAL COACH,1.0,Primary,1.0,,,,,
Avenel,REGIONAL TRAIN,2.0,Primary,1.0,,,,,
Avoca,REGIONAL BUS,3.0,Primary,1.0,,,,,
Avoca,REGIONAL COACH,2.0,Primary,1.0,,,,,
Avon Plains,,,,,,,,,
Avondale Heights,METRO BUS,31.0,Primary,2.0,,,,,
Avonmore,,,,,,,,,
Avonsleigh,METRO BUS,1.0,,,,,,,
Axe Creek,,,Primary,1.0,,,,,
Axedale,REGIONAL BUS,1.0,Primary,1.0,,,,,
Ayrford,,,,,,,,,
Bacchus Marsh,REGIONAL BUS,19.0,Primary,2.0,,,,,
Bacchus Marsh,REGIONAL COACH,1.0,Primary,2.0,,,,,
Baddaginnie,,,,,,,,,
Badger Creek,METRO BUS,3.0,Primary,1.0,,,,,
Bael Bael,,,,,,,,,
Bagshot,REGIONAL BUS,1.0,,,,,,,
Bagshot North,,,,,,,,,
Bahgallah,,,,,,,,,
Bailieston,,,,,,,,,
Bairnsdale,REGIONAL BUS,25.0,Pri/Sec,1.0,Other Regional Centres,1 bedroom flat,2025-03-01,285.0,275.0
Bairnsdale,REGIONAL BUS,25.0,Pri/Sec,1.0,Other Regional Centres,2 bedroom flat,2025-03-01,368.0,360.0
Bairnsdale,REGIONAL BUS,25.0,Pri/Sec,1.0,Other Regional Centres,2 bedroom house,2025-03-01,380.0,385.0
Bairnsdale,REGIONAL BUS,25.0,Pri/Sec,1.0,Other Regional Centres,3 bedroom flat,2025-03-01,448.0,450.0
Bairnsdale,REGIONAL BUS,25.0,Pri/Sec,1.0,Other Regional Centres,3 bedroom house,2025-03-01,450.0,450.0
Bairnsdale,REGIONAL BUS,25.0,Pri/Sec,1.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Bairnsdale,REGIONAL BUS,25.0,Pri/Sec,1.0,Other Regional Centres,All properties,2025-03-01,450.0,440.0
Bairnsdale,REGIONAL BUS,25.0,Primary,4.0,Other Regional Centres,1 bedroom flat,2025-03-01,285.0,275.0
Bairnsdale,REGIONAL BUS,25.0,Primary,4.0,Other Regional Centres,2 bedroom flat,2025-03-01,368.0,360.0
Bairnsdale,REGIONAL BUS,25.0,Primary,4.0,Other Regional Centres,2 bedroom house,2025-03-01,380.0,385.0
Bairnsdale,REGIONAL BUS,25.0,Primary,4.0,Other Regional Centres,3 bedroom flat,2025-03-01,448.0,450.0
Bairnsdale,REGIONAL BUS,25.0,Primary,4.0,Other Regional Centres,3 bedroom house,2025-03-01,450.0,450.0
Bairnsdale,REGIONAL BUS,25.0,Primary,4.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Bairnsdale,REGIONAL BUS,25.0,Primary,4.0,Other Regional Centres,All properties,2025-03-01,450.0,440.0
Bairnsdale,REGIONAL BUS,25.0,Secondary,2.0,Other Regional Centres,1 bedroom flat,2025-03-01,285.0,275.0
Bairnsdale,REGIONAL BUS,25.0,Secondary,2.0,Other Regional Centres,2 bedroom flat,2025-03-01,368.0,360.0
Bairnsdale,REGIONAL BUS,25.0,Secondary,2.0,Other Regional Centres,2 bedroom house,2025-03-01,380.0,385.0
Bairnsdale,REGIONAL BUS,25.0,Secondary,2.0,Other Regional Centres,3 bedroom flat,2025-03-01,448.0,450.0
Bairnsdale,REGIONAL BUS,25.0,Secondary,2.0,Other Regional Centres,3 bedroom house,2025-03-01,450.0,450.0
Bairnsdale,REGIONAL BUS,25.0,Secondary,2.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Bairnsdale,REGIONAL BUS,25.0,Secondary,2.0,Other Regional Centres,All properties,2025-03-01,450.0,440.0
Bairnsdale,REGIONAL BUS,25.0,Special,1.0,Other Regional Centres,1 bedroom flat,2025-03-01,285.0,275.0
Bairnsdale,REGIONAL BUS,25.0,Special,1.0,Other Regional Centres,2 bedroom flat,2025-03-01,368.0,360.0
Bairnsdale,REGIONAL BUS,25.0,Special,1.0,Other Regional Centres,2 bedroom house,2025-03-01,380.0,385.0
Bairnsdale,REGIONAL BUS,25.0,Special,1.0,Other Regional Centres,3 bedroom flat,2025-03-01,448.0,450.0
Bairnsdale,REGIONAL BUS,25.0,Special,1.0,Other Regional Centres,3 bedroom house,2025-03-01,450.0,450.0
Bairnsdale,REGIONAL BUS,25.0,Special,1.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Bairnsdale,REGIONAL BUS,25.0,Special,1.0,Other Regional Centres,All properties,2025-03-01,450.0,440.0
Bairnsdale,REGIONAL COACH,3.0,Pri/Sec,1.0,Other Regional Centres,1 bedroom flat,2025-03-01,285.0,275.0
Bairnsdale,REGIONAL COACH,3.0,Pri/Sec,1.0,Other Regional Centres,2 bedroom flat,2025-03-01,368.0,360.0
Bairnsdale,REGIONAL COACH,3.0,Pri/Sec,1.0,Other Regional Centres,2 bedroom house,2025-03-01,380.0,385.0
Bairnsdale,REGIONAL COACH,3.0,Pri/Sec,1.0,Other Regional Centres,3 bedroom flat,2025-03-01,448.0,450.0
Bairnsdale,REGIONAL COACH,3.0,Pri/Sec,1.0,Other Regional Centres,3 bedroom house,2025-03-01,450.0,450.0
Bairnsdale,REGIONAL COACH,3.0,Pri/Sec,1.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Bairnsdale,REGIONAL COACH,3.0,Pri/Sec,1.0,Other Regional Centres,All properties,2025-03-01,450.0,440.0
Bairnsdale,REGIONAL COACH,3.0,Primary,4.0,Other Regional Centres,1 bedroom flat,2025-03-01,285.0,275.0
Bairnsdale,REGIONAL COACH,3.0,Primary,4.0,Other Regional Centres,2 bedroom flat,2025-03-01,368.0,360.0
Bairnsdale,REGIONAL COACH,3.0,Primary,4.0,Other Regional Centres,2 bedroom house,2025-03-01,380.0,385.0
Bairnsdale,REGIONAL COACH,3.0,Primary,4.0,Other Regional Centres,3 bedroom flat,2025-03-01,448.0,450.0
Bairnsdale,REGIONAL COACH,3.0,Primary,4.0,Other Regional Centres,3 bedroom house,2025-03-01,450.0,450.0
Bairnsdale,REGIONAL COACH,3.0,Primary,4.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Bairnsdale,REGIONAL COACH,3.0,Primary,4.0,Other Regional Centres,All properties,2025-03-01,450.0,440.0
Bairnsdale,REGIONAL COACH,3.0,Secondary,2.0,Other Regional Centres,1 bedroom flat,2025-03-01,285.0,275.0
Bairnsdale,REGIONAL COACH,3.0,Secondary,2.0,Other Regional Centres,2 bedroom flat,2025-03-01,368.0,360.0
Bairnsdale,REGIONAL COACH,3.0,Secondary,2.0,Other Regional Centres,2 bedroom house,2025-03-01,380.0,385.0
Bairnsdale,REGIONAL COACH,3.0,Secondary,2.0,Other Regional Centres,3 bedroom flat,2025-03-01,448.0,450.0
Bairnsdale,REGIONAL COACH,3.0,Secondary,2.0,Other Regional Centres,3 bedroom house,2025-03-01,450.0,450.0
Bairnsdale,REGIONAL COACH,3.0,Secondary,2.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Bairnsdale,REGIONAL COACH,3.0,Secondary,2.0,Other Regional Centres,All properties,2025-03-01,450.0,440.0
Bairnsdale,REGIONAL COACH,3.0,Special,1.0,Other Regional Centres,1 bedroom flat,2025-03-01,285.0,275.0
Bairnsdale,REGIONAL COACH,3.0,Special,1.0,Other Regional Centres,2 bedroom flat,2025-03-01,368.0,360.0
Bairnsdale,REGIONAL COACH,3.0,Special,1.0,Other Regional Centres,2 bedroom house,2025-03-01,380.0,385.0
Bairnsdale,REGIONAL COACH,3.0,Special,1.0,Other Regional Centres,3 bedroom flat,2025-03-01,448.0,450.0
Bairnsdale,REGIONAL COACH,3.0,Special,1.0,Other Regional Centres,3 bedroom house,2025-03-01,450.0,450.0
Bairnsdale,REGIONAL COACH,3.0,Special,1.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Bairnsdale,REGIONAL COACH,3.0,Special,1.0,Other Regional Centres,All properties,2025-03-01,450.0,440.0
Bairnsdale,REGIONAL TRAIN,2.0,Pri/Sec,1.0,Other Regional Centres,1 bedroom flat,2025-03-01,285.0,275.0
Bairnsdale,REGIONAL TRAIN,2.0,Pri/Sec,1.0,Other Regional Centres,2 bedroom flat,2025-03-01,368.0,360.0
Bairnsdale,REGIONAL TRAIN,2.0,Pri/Sec,1.0,Other Regional Centres,2 bedroom house,2025-03-01,380.0,385.0
Bairnsdale,REGIONAL TRAIN,2.0,Pri/Sec,1.0,Other Regional Centres,3 bedroom flat,2025-03-01,448.0,450.0
Bairnsdale,REGIONAL TRAIN,2.0,Pri/Sec,1.0,Other Regional Centres,3 bedroom house,2025-03-01,450.0,450.0
Bairnsdale,REGIONAL TRAIN,2.0,Pri/Sec,1.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Bairnsdale,REGIONAL TRAIN,2.0,Pri/Sec,1.0,Other Regional Centres,All properties,2025-03-01,450.0,440.0
Bairnsdale,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,1 bedroom flat,2025-03-01,285.0,275.0
Bairnsdale,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,2 bedroom flat,2025-03-01,368.0,360.0
Bairnsdale,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,2 bedroom house,2025-03-01,380.0,385.0
Bairnsdale,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,3 bedroom flat,2025-03-01,448.0,450.0
Bairnsdale,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,3 bedroom house,2025-03-01,450.0,450.0
Bairnsdale,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Bairnsdale,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,All properties,2025-03-01,450.0,440.0
Bairnsdale,REGIONAL TRAIN,2.0,Secondary,2.0,Other Regional Centres,1 bedroom flat,2025-03-01,285.0,275.0
Bairnsdale,REGIONAL TRAIN,2.0,Secondary,2.0,Other Regional Centres,2 bedroom flat,2025-03-01,368.0,360.0
Bairnsdale,REGIONAL TRAIN,2.0,Secondary,2.0,Other Regional Centres,2 bedroom house,2025-03-01,380.0,385.0
Bairnsdale,REGIONAL TRAIN,2.0,Secondary,2.0,Other Regional Centres,3 bedroom flat,2025-03-01,448.0,450.0
Bairnsdale,REGIONAL TRAIN,2.0,Secondary,2.0,Other Regional Centres,3 bedroom house,2025-03-01,450.0,450.0
Bairnsdale,REGIONAL TRAIN,2.0,Secondary,2.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Bairnsdale,REGIONAL TRAIN,2.0,Secondary,2.0,Other Regional Centres,All properties,2025-03-01,450.0,440.0
Bairnsdale,REGIONAL TRAIN,2.0,Special,1.0,Other Regional Centres,1 bedroom flat,2025-03-01,285.0,275.0
